date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:56	42210/42210	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:53%20GMT	https://necs.com/press.php	/home/shawnm/websites/tjcandyFullSiter/necs.com/press.html	(from https://necs.com/net/)
20:28:57	65024/65024	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:54%20GMT	https://necs.com/contact.php	/home/shawnm/websites/tjcandyFullSiter/necs.com/contact.html	(from https://necs.com/net/)
20:28:58	38832/38832	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:55%20GMT	https://necs.com/job-opportunities.php	/home/shawnm/websites/tjcandyFullSiter/necs.com/job-opportunities.html	(from https://necs.com/net/)
20:28:58	73531/73531	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:55%20GMT	https://necs.com/partners/	/home/shawnm/websites/tjcandyFullSiter/necs.com/partners/index.html	(from https://necs.com/net/)
20:28:58	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jul%202020%2003:28:57%20GMT	https://www.necs.com/images/256.png	/home/shawnm/websites/tjcandyFullSiter/www.necs.com/images/256.1b.delayed	(from https://necs.com/net/)
20:28:58	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jul%202020%2003:28:57%20GMT	https://www.necs.com/	/home/shawnm/websites/tjcandyFullSiter/www.necs.com/index.html	(from https://necs.com/net/)
20:28:59	32485/32485	---M--	200	added ('OK')	image/png	etag:%22cbac1-7ee5-4f522b9d0ba80%22	https://necs.com/images/256.png	/home/shawnm/websites/tjcandyFullSiter/necs.com/images/256.png	(from https://necs.com/net/)
20:29:00	29926/29926	---M--	200	added ('OK')	image/jpeg	etag:%22cbafd-74e6-4f522ba9717c0%22	https://necs.com/images/cal-icon.jpg	/home/shawnm/websites/tjcandyFullSiter/necs.com/images/cal-icon.jpg	(from https://necs.com/net/)
20:29:01	11686/11686	---M--	200	added ('OK')	image/jpeg	etag:%22100368-2da6-4f522ca71ee40%22	https://necs.com/images/content/socialicons/fb.jpg	/home/shawnm/websites/tjcandyFullSiter/necs.com/images/content/socialicons/fb.jpg	(from https://necs.com/net/)
20:29:02	11817/11817	---M--	200	added ('OK')	image/jpeg	etag:%2210036c-2e29-4f522ca71ee40%22	https://necs.com/images/content/socialicons/yt.jpg	/home/shawnm/websites/tjcandyFullSiter/necs.com/images/content/socialicons/yt.jpg	(from https://necs.com/net/)
20:29:03	19966/19966	---M--	200	added ('OK')	image/png	etag:%22c059a-4dfe-540df6438f915%22	https://necs.com/images/logo_new.png	/home/shawnm/websites/tjcandyFullSiter/necs.com/images/logo_new.png	(from https://necs.com/net/)
20:29:04	123/123	---M--	200	added ('OK')	image/png	etag:%22cbb7d-7b-4f522cd2fd5c0%22	https://necs.com/images/spacer.png	/home/shawnm/websites/tjcandyFullSiter/necs.com/images/spacer.png	(from https://necs.com/net/)
